Email ID,Subject,Email,Company,Role,Person
1,Inquiry for Selsil NINJA MDF Instant Adhesive,"Dear Selsil Sales Team,

My name is Sarah Thompson, and I am the Operations Manager at GreenTech Industries. I would like to order 5 units of Selsil NINJA MDF Instant Adhesive in 500g sizes. Please let me know if this can be accommodated.

Best regards,
Sarah Thompson
Operations Manager
GreenTech Industries","GreenTech Industries
","Operations Manager","Sarah Thompson"
2,Request for Selsil PRO,"Hello Selsil Team,

I hope this message finds you well. My name is John Roberts, and I’m the Procurement Officer at Dynamic Solutions. I am interested in purchasing 10 units of Selsil PRO in 300ml sizes. Could you please confirm availability?

Thank you,
John Roberts
Procurement Officer
Dynamic Solutions","Dynamic Solutions

","Procurement Officer
","John Roberts"
3,Order Inquiry for Selsil Brake Cleaner,"Dear Selsil Sales,

I am Laura Chen, the Maintenance Supervisor at AutoCare Garage. I would like to place an order for 5 units of Selsil Brake Cleaner in 1-liter sizes. Please confirm if you can fulfill this request.

Best,
Laura Chen
Maintenance Supervisor
AutoCare Garage","AutoCare Garage
","Maintenance Supervisor","Laura Chen"
4,Inquiry for Selsil X1 Adhesive,"Hi Selsil Team,

My name is Mark Williams, and I am the Project Manager at BuildWell Construction. I am interested in ordering 5 liters of Selsil X1. Could you let me know about the pricing and availability?

Thank you!
Mark Williams
Project Manager
BuildWell Construction","BuildWell Construction
","Project Manager","Mark Williams"
5,Order Inquiry for Selsil Quick Cover Thermal Foam,"Dear Selsil Sales,

I’m Emily Davis, the Facility Manager at Home Improvement Co. We are looking to purchase 10 cans of Selsil Quick Cover Thermal Foam in 750ml sizes. Please confirm whether this order can be processed.

Sincerely,
Emily Davis
Facility Manager
Home Improvement Co.","Home Improvement Co.
","Facility Manager","Emily Davis"
6,Inquiry for Selsil NINJA MDF Instant Adhesive,"Dear Selsil Sales Team,

My name is Karen Patel, and I am the Product Development Lead at Innovative Design Co. We would like to inquire about a bulk order of 50 units of Selsil NINJA MDF Instant Adhesive, each 500g.

I would appreciate it if you could provide me with pricing details, any applicable discounts for bulk purchases, and information regarding minimum order quantities or shipping costs. Additionally, could you inform me about the estimated delivery time once the order is placed?

Thank you for your assistance, and I look forward to your prompt response.

Best regards,
Karen Patel
Product Development Lead
Innovative Design Co.","Innovative Design Co.
","Product Development Lead","Karen Patel"
7,Request for Selsil PRO,"Hello Selsil Team,

I hope this email finds you well. My name is David Mitchell, and I serve as the Maintenance Manager at Reliable Manufacturing. We are looking to reorder Selsil PRO, specifically 100 cans in the 300ml size.

Please let me know if you have enough stock to fulfill this request and provide information regarding bulk pricing options or potential discounts. Additionally, I would like to know your delivery timelines.

Thank you once again for your support. I look forward to hearing back from you soon.

Warm regards,
David Mitchell
Maintenance Manager
Reliable Manufacturing","Reliable Manufacturing
","Maintenance Manager
","David Mitchell"
8,Order Inquiry for Selsil Brake Cleaner,"Dear Selsil Sales,

My name is Angela Rivera, and I’m the Operations Director at AutoTech Services. We would like to order 200 liters of Selsil Brake Cleaner, specifically in 1-liter bottles.

Please confirm availability and any volume discounts you might offer. Moreover, understanding your delivery timelines would be helpful, as we need the product shipped promptly.

Thank you for your assistance. I hope to receive your response soon.

Sincerely,
Angela Rivera
Operations Director
AutoTech Services","AutoTech Services
","Operations Director","Angela Rivera"
9,Inquiry for Selsil X1 Adhesive,"Hi Selsil Team,

I am Mark Johnson, the Project Coordinator at Premier Construction Solutions. We would like to order 10 liters of Selsil X1 adhesive. If there are any promotions or bulk purchase options, please inform me of those as well.

Additionally, could you provide the estimated lead time for shipping? Timely delivery is important as we have scheduled our project to begin shortly.

Thank you for your attention to this matter, and I look forward to your prompt response.

Best,
Mark Johnson
Project Coordinator
Premier Construction Solutions","Premier Construction Solutions
","Project Coordinator","Mark Johnson"
10,Order Inquiry for Selsil Quick Cover Thermal Foam,"Dear Selsil Sales Team,

I am Jessica Adams, the Facilities Manager at Eco-Friendly Homes. We would like to inquire about ordering 50 cans of Selsil Quick Cover Thermal Foam in 750ml sizes.

I would appreciate it if you could provide pricing information, including any bulk purchase discounts that might apply, as well as estimated shipping costs and delivery timelines.

Thank you so much for your assistance. I look forward to hearing from you soon.

Warm regards,
Jessica Adams
Facilities Manager
Eco-Friendly Homes","Eco-Friendly Homes
","Facilities Manager","Jessica Adams"
